,id,address,categories,city,name,province,websites,lowerNames,cleanCategories,lowerCity
0,AWrSh_KgsVYjT2BJAzaH,2555 11th Avenue,"Fast Food Restaurants,Hamburgers and Hot Dogs,Restaurants",Greeley,Carl's Jr.,CO,https://www.carlsjr.com/?utm_source=Yextandutm_medium=Visit%20Websiteandutm_campaign=Homepage,carls jr,"['hamburgers', 'hot dogs']",greeley
1,AWEKlA-LIxWefVJwxG9B,2513 Highway 6 And 50,"Restaurant,Mexican Restaurants,Fast Food Restaurants,Restaurants",Grand Junction,Del Taco,CO,http://www.deltaco.com,del taco,['mexican'],grand junction
2,AWrSfAcYsVYjT2BJAzPt,1125 Patterson Road,"Sandwich Shops,Fast Food Restaurants,Restaurants,Take Out Restaurants",Grand Junction,Which Wich,CO,http://www.whichwich.com,which wich,"['sandwich', 'take out']",grand junction
3,AWrSa3NAQTFama1Xpkbz,3455 N Salida Court,"Fast Food Restaurants,Mexican Restaurants,Restaurants,Take Out Restaurants",Aurora,Chipotle Mexican Grill,CO,http://www.chipotle.com,chipotle mexican grill,"['mexican', 'take out']",aurora
4,AWrSaVGzZ4Yw-wtdgcaB,5225 E Colfax Avenue,"Fast Food Restaurants,Mexican Restaurants,Restaurants",Denver,Taco Bell,CO,https://locations.tacobell.com/co/denver/5225-e-colfax-ave.html?utm_source=yextandutm_campaign=yextpowerlistingsandutm_medium=referralandutm_term=004051andutm_content=website,taco bell,['mexican'],denver
5,AWrSaQ5RZ4Yw-wtdgcZw,1350 W Colfax Avenue,"Fast Food Restaurants,Hamburgers and Hot Dogs,Restaurants,Take Out Restaurants",Denver,McDonald's,CO,https://www.mcdonalds.com/us/en-us/location/CO/DENVER/1350-W-COLFAX/23659.html?cid=RF:YXT:RoN::Clicks,mcdonalds,"['take out', 'hamburgers', 'hot dogs']",denver
6,AWrSaQ4EsVYjT2BJAy_I,200 16th Street,"Fast Food Restaurants,Hamburgers and Hot Dogs,Restaurants,Take Out Restaurants",Denver,McDonald's,CO,https://www.mcdonalds.com/us/en-us/location/CO/DENVER/200-16TH-ST/4267.html?cid=RF:YXT:RoN::Clicks,mcdonalds,"['take out', 'hamburgers', 'hot dogs']",denver
7,AWCvDUHSIxWefVJwvq4y,1772 N College Ave,"Restaurant,Carry-out food,Mexican Restaurants,Tex-mex restaurants,Southwestern restaurants,Fast Food Restaurant,Mexican restaurants,Karaoke,Fast Food Restaurants,Restaurants",Fayetteville,Taco Bell,AR,"http://www.tacobell.com/,http://www.tacobell.com",taco bell,"['southwestern', 'tex mex', 'carry out', 'mexican', 'karaoke']",fayetteville
8,AWrSTT3sQTFama1Xpjyq,605 S Havana Street,"Fast Food Restaurants,American Restaurants,Family Style Restaurants,Restaurants,Seafood Restaurants",Aurora,Captain D's Seafood Kitchen,CO,http://www.captainds.com,captain ds seafood kitchen,"['sea', 'american', 'family style']",aurora
9,AWkq412CIxWefVJwH_cO,16th Glenarm Place,"Mexican Restaurants,Caterers,Greek Restaurants,Mediterranean Restaurants,Latin American Restaurants,Fast Food Restaurants,Restaurants",Denver,Shondiz,CO,"http://www.shondiz.com,http://www.shondiz.com/",shondiz,"['greek', 'caterers', 'mediterranean', 'mexican', 'latin american']",denver
